Structured comment name	Value syntax	Example																										
host_genotype	{text}	Ts																										
host_genotype	{text}																											
host_growth_cond	{PMID}|{DOI}|{URL}|{text}	https://academic.oup.com/icesjms/article/68/2/349/617247																										
host_growth_cond	{PMID}|{DOI}|{URL}|{text}																											
host_height	{float} {unit}	0.1 meter																										
host_height	{float} {unit}	1 meter																										
host_height	{float} {unit}	1.75 meter																										
host_height	{float} {unit}																											
host_hiv_stat	{boolean};{boolean}	yes;yes																										
host_infra_specific_name	{text}																											
host_infra_specific_rank	{text}																											
host_last_meal	{text};{duration}	corn feed;P2H																										
host_last_meal	{text};{duration}	french fries;P5H30M																										
host_length	{float} {unit}	1 meter																										
host_length	{float} {unit}																											
host_life_stage	{text}	adult																										
host_life_stage	{text}	redia																										
host_life_stage	{text}																											
host_number	{float} m	3																										
host_occupation	{integer}	veterinary																										
host_of_host_coinf	{text}	Maritrema novaezealandense																										
host_of_host_disease	{termLabel} {[termID]}|{text}	rabies [DOID:11260]																										
host_of_host_env_loc	{termLabel} {[termID]}	small intestine[uberon:0002108]																										
host_of_host_env_med	{termLabel} {[termID]}	feces[uberon:0001988]																										
host_of_host_fam_rel	{text};{text}																											
host_of_host_geno	{text}																											
