element_name	element_type	readonly_metaslot	metaslot_value	schema_file
samp_time_out	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_transport_cond	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_tvdss	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_type	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_vol_we_dna_ext	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_weather	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_well_name	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
saturates_pc	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
season	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
season_environment	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
season_precpt	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
season_temp	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
season_use	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
secondary_treatment	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
