name	type	is_a	abstract	from_schema
uint32	TypeDefinition			https://w3id.org/linkml/extended_types
uint64	TypeDefinition			https://w3id.org/linkml/extended_types
uint8	TypeDefinition			https://w3id.org/linkml/extended_types
union_of	SlotDefinition			https://w3id.org/linkml/meta
unique_key	ClassDefinition			https://w3id.org/linkml/meta
unique_key_name	SlotDefinition			https://w3id.org/linkml/meta
unique_key_slots	SlotDefinition			https://w3id.org/linkml/meta
unique_keys	SlotDefinition			https://w3id.org/linkml/meta
unit	SlotDefinition			https://w3id.org/linkml/units
unsignedinteger	TypeDefinition			https://w3id.org/linkml/extended_types
uri	TypeDefinition			https://w3id.org/linkml/types
uriorcurie	TypeDefinition			https://w3id.org/linkml/types
usage_slot_name	SlotDefinition			https://w3id.org/linkml/meta
value	SlotDefinition			https://w3id.org/linkml/meta
value_description	SlotDefinition			https://w3id.org/linkml/meta
value_object	SlotDefinition			https://w3id.org/linkml/meta
value_presence	SlotDefinition	list_value_specification_constant		https://w3id.org/linkml/meta
value_specification_constant	SlotDefinition		True	https://w3id.org/linkml/meta
values_from	SlotDefinition			https://w3id.org/linkml/meta
version	SlotDefinition			https://w3id.org/linkml/datasets
was_derived_from	SlotDefinition			https://w3id.org/linkml/datasets
