enumeration name	permissible value name	PV meaning
wall_surf_treatment_enum	paneling	
wall_surf_treatment_enum	stucco	
wall_surf_treatment_enum	fabric	
wall_texture_enum		
wall_texture_enum	crows feet	
wall_texture_enum	crows-foot stomp	
wall_texture_enum		
wall_texture_enum	double skip	
wall_texture_enum	hawk and trowel	
wall_texture_enum	knockdown	
wall_texture_enum	popcorn	
wall_texture_enum	orange peel	
wall_texture_enum	rosebud stomp	
wall_texture_enum	Santa-Fe texture	
wall_texture_enum	skip trowel	
wall_texture_enum	smooth	
wall_texture_enum	stomp knockdown	
wall_texture_enum	swirl	
water_feat_type_enum		
water_feat_type_enum	fountain	
water_feat_type_enum	pool	
water_feat_type_enum	standing feature	
water_feat_type_enum	stream	
water_feat_type_enum	waterfall	
weekday_enum		
weekday_enum	Monday	
weekday_enum	Tuesday	
weekday_enum	Wednesday	
weekday_enum	Thursday	
weekday_enum	Friday	
weekday_enum	Saturday	
weekday_enum	Sunday	
window_cond_enum		
window_cond_enum	damaged	
window_cond_enum	needs repair	
window_cond_enum	new	
window_cond_enum	rupture	
window_cond_enum	visible wear	
window_cover_enum		
window_cover_enum	blinds	
window_cover_enum	curtains	
window_cover_enum	none	
window_horiz_pos_enum		
window_horiz_pos_enum	left	
window_horiz_pos_enum	middle	
window_horiz_pos_enum	right	
window_loc_enum		
window_loc_enum	north	
window_loc_enum	south	
window_loc_enum	east	
window_loc_enum	west	
window_mat_enum		
window_mat_enum	clad	
window_mat_enum	fiberglass	
window_mat_enum	metal	
window_mat_enum	vinyl	
window_mat_enum	wood	
window_type_enum		
window_type_enum	single-hung sash window	
window_type_enum	horizontal sash window	
window_type_enum	fixed window	
window_vert_pos_enum		
window_vert_pos_enum	bottom	
window_vert_pos_enum	middle	
window_vert_pos_enum	top	
window_vert_pos_enum	low	
window_vert_pos_enum	high	
SampleTypeEnum		
SampleTypeEnum	soil	
SampleTypeEnum	soil - water extract	
SampleTypeEnum	plant associated	
SampleTypeEnum	sediment	
SampleTypeEnum	water	
DNASampleFormatEnum		
DNASampleFormatEnum	10 mM Tris-HCl	
DNASampleFormatEnum	DNAStable	
DNASampleFormatEnum	Ethanol	
DNASampleFormatEnum	Low EDTA TE	
DNASampleFormatEnum	MDA reaction buffer	
DNASampleFormatEnum	PBS	
DNASampleFormatEnum	Pellet	
DNASampleFormatEnum	RNAStable	
DNASampleFormatEnum	TE	
DNASampleFormatEnum	Water	
DNASampleFormatEnum	Gentegra-DNA	
DNASampleFormatEnum	Gentegra-RNA	
RNASampleFormatEnum		
RNASampleFormatEnum	10 mM Tris-HCl	
RNASampleFormatEnum	DNAStable	
RNASampleFormatEnum	Ethanol	
RNASampleFormatEnum	Low EDTA TE	
RNASampleFormatEnum	MDA reaction buffer	
RNASampleFormatEnum	PBS	
